Notes: ,,,,,,,
AMCP20-22: Average Market Clearing Price 2020-2022,,,,,,,
C2021:  % Change in price between 2020-21 ,,,,,,,
C2022: % Change in price between 2020-22,,,,,,,
,,,,,,,
Zone,Month,AMCP20,AMCP21,AMCP22,C2021,C2122,C2022
IT_CNOR,2,38.98843391,55.24970238,213.1744494,41.71,285.84,446.76
IT_CNOR,3,31.60162634,60.30170699,311.4782527,90.82,416.53,885.64
IT_CNOR,4,24.77608333,69.09581944,247.7941806,178.88,258.62,900.13
IT_CNOR,5,22.53399194,69.74030914,229.1252554,209.49,228.54,916.8
IT_CNOR,6,28.53345833,82.89751389,270.2058213,190.53,225.95,846.98
NL,1,37.07186828,53.62115591,189.235578,44.64,252.91,410.46
NL,2,29.55011494,49.23474702,168.291875,66.61,241.82,469.51
NL,3,24.74553763,48.89051075,261.0312903,97.57,433.91,954.86
NL,4,18.96579167,53.86905556,195.3124167,184.03,262.57,929.81
NL,5,17.66655914,56.11655914,181.3977016,217.64,223.25,926.79
NL,6,26.25641667,76.50940278,206.675634,191.39,170.13,687.14
PL,1,44.13818548,54.7871371,143.9869489,24.13,162.81,226.22
PL,2,40.86833333,58.88940476,116.8137202,44.1,98.36,185.83
PL,3,36.93766129,59.63270161,141.3253763,61.44,136.99,282.61
PL,4,33.30244444,59.35676389,124.2717083,78.24,109.36,273.16
PL,5,38.54686828,65.64869624,140.6438575,70.31,114.24,264.86
PL,6,48.39293056,76.22743056,181.7695101,57.52,138.46,275.61
PT,1,40.90326613,60.62740591,201.9786559,48.22,233.15,393.8
PT,2,36.02508621,28.24181548,200.8095536,-21.61,611.04,457.42
PT,3,27.85237903,45.41860215,283.0931452,63.07,523.3,916.41
PT,4,17.72579167,64.97829167,192.0124167,266.57,195.5,983.24
PT,5,21.44259409,67.18258065,187.1896909,213.31,178.63,772.98
PT,6,30.65648611,83.29963889,170.9913112,171.72,105.27,457.77
RO,1,252.3176613,271.1440054,192.1515457,7.46,-29.13,-23.85
RO,2,193.6417672,234.5676786,188.2539137,21.13,-19.74,-2.78
RO,3,143.0010349,266.118629,274.0964785,86.1,3,91.67
RO,4,123.643125,309.2394167,174.7981389,150.11,-43.47,41.37
RO,5,119.8131183,289.285457,202.2771909,141.45,-30.08,68.83
RO,6,146.9369028,229.3714167,226.2421182,56.1,-1.36,53.97
SE_1,1,23.24544355,44.6727957,28.06610215,92.18,-37.17,20.74
SE_1,2,14.38221264,43.21946429,24.47505952,200.51,-43.37,70.18
SE_1,3,8.993803763,25.01387097,22.02030914,178.12,-11.97,144.84
SE_1,4,5.129430556,26.51270833,51.03302778,416.87,92.49,894.91
SE_1,5,9.497728495,38.34611559,55.08490591,303.74,43.65,479.98
SE_1,6,9.855638889,34.44218056,48.96912104,249.47,42.18,396.86
SE_2,1,23.24544355,44.6727957,28.06610215,92.18,-37.17,20.74
SE_2,2,14.38221264,43.21946429,24.47505952,200.51,-43.37,70.18
SE_2,3,8.993803763,25.01387097,22.02030914,178.12,-11.97,144.84
SE_2,4,5.129430556,26.43156944,51.74858333,415.29,95.78,908.86
SE_2,5,9.497728495,38.34611559,55.08490591,303.74,43.65,479.98
SE_2,6,9.855638889,34.46366379,48.96912104,249.68,42.09,396.86
SE_3,1,23.71592742,48.62177419,101.0127016,105.02,107.75,325.93
SE_3,2,18.38142241,53.10308036,73.30215774,188.9,38.04,298.78
SE_3,3,13.82418011,36.14787634,123.0021505,161.48,240.27,789.76
SE_3,4,9.001583333,33.19084722,86.36230556,268.72,160.2,859.41
SE_3,5,12.73487903,42.84091398,97.83106183,236.41,128.36,668.21
SE_3,6,23.719875,39.86152778,114.4495965,68.05,187.12,382.51
SE_4,1,26.36801075,49.7840457,105.8952957,88.8,112.71,301.61
SE_4,2,18.55324713,53.85566964,79.29147321,190.28,47.23,327.37
SE_4,3,15.94666667,45.10967742,145.8477957,182.88,223.32,814.6
SE_4,4,13.74722222,42.53759722,110.1729306,209.43,159,701.42
SE_4,5,14.02541667,47.80485215,132.5114919,240.84,177.19,844.8
SE_4,6,24.20186111,73.09477778,165.0754323,202.02,125.84,582.08
